"","V1","V2"
"98","TRUMP"," OK, fine."
"99","HEWITT"," Its Americas watching."
"100","BUSH"," So I was I was I was mentioned, so I can bring up something, I think, right? Look, the simple fact is, if you think this is tough youre not being treated fairly...
TRUMP: This isnt tough and easy. I wish it..."
"101","BUSH"," ... imagine what its going to be like dealing with Putin or dealing with President Xi.
TRUMP: I wish it was always this easy as you, Jeb.
BUSH: Or dealing with the Islamic terrorism that exists.
TRUMP: Oh, yeah.
BUSH: This is a tough business to run for president.
TRUMP: Oh, I know. Youre a tough guy, Jeb. I know."
"102","BUSH"," And its and we need...
TRUMP: Youre tough."
"103","BUSH"," Youre never going to be president of the United States by insulting your way to the presidency.
TRUMP: Well, lets see. Im at 42, and youre at 3. So, so far, Im doing better.
BUSH: Doesnt matter. Doesnt matter.
TRUMP: So far, Im doing better. You know, you started off over here, Jeb. Youre moving over further and further. Pretty soon youre going to be off the end..."
"104","FIORINA"," This doesnt do a thing to solve the problems...It doesnt do a thing to solve the problems."
"105","BLITZER"," One at a time. Hugh, go ahead."
"106","KASICH"," It sounds more and more what my daughter said that I said in the beginning, all the fighting and arguing is not advancing us."
"107","FIORINA"," It will not solve the problem."
"108","KASICH"," It is not the way were going to strengthen our country. We will strengthen our country when we come together. And, look, youve got Rand Paul, youve got Ted Cruz, youve got Marco, youve got a lot of people on this stage that have studied these issues. You know what a leader does? A leader has a sound program, has a good policy, and then brings people together to solve problems. Guess what? Both in Congress in balancing the budget and in Ohio fixing the economy and, by the way, we talk about the fence. The first thing we better get going is strengthening our economy, because if we dont have a strong economy, we cant pay for all of this. And the world wants us to be able to function from strength, believe it or not. Get our economy going, get these people together in a room. We can fix this, ladies and gentlemen.  We dont have to fight all the time. It can be done, and we will be great..."
"109","HEWITT"," Governor thank you, Governor."
"110","KASICH"," ... when we join together. Thank you, Hugh."
"111","HEWITT"," Dr. Carson, commander-in-chief question again. Youve been the head of neurosurgery for a big hospital. Youre on a lot of boards of a lot of companies. Youve traveled the world. Youre going traveling again next week. But does that prepare you to command troops from Djibouti to Japan, troops from Afghanistan to Iraq to be in charge of the men and women watching on Armed Services Network tonight?"
"112","CARSON"," Well, you know, theres a false narrative that only the political class has the wisdom and the ability to be commander-in- chief. But if you go back and you study the design of our country, it was really designed for the citizen statesman.And we need to be talking about where does your experience come from? You know, and Ive had a lot of experience building things, organizing things, you know, a national scholarship program.One of the things that youll notice if you look through my life is that I dont do a lot of talking. I do a lot of doing. And really, it says more about a person than how much they talk. And then some people say youre weak because, you know, youre not loud and youre not boisterous and youre not rude. But the fact of the matter is, look and see what Ive done. And that speaks volumes about strength.
BASH: Thank you, Dr. Carson. Weve been talking tonight about programs and policy proposals that you all have to keep Americans safe and its a big discussion on the campaign trail. Also about border security and immigration. So lets talk about immigration.Senator Rubio. You co-authored a bill with Democrats two years ago that allowed a path to citizenship for undocumented immigrants. Do you still support that path to citizenship, which means giving those immigrants rights, like the right to vote?"
"113","RUBIO"," Yeah. Immigration is not an issue that I read about in the newspaper or watch a documentary on PBS or CNN. Its an issues Ive lived around my whole life. My family are immigrants. My wifes family are immigrants. All of my neighbors are immigrants.I see every aspect of this problem. The good, the bad, and the ugly. And heres what we learned in 2013. The American people dont trust the Federal Government to enforce our immigration laws, and we will not be able to do anything on immigration until we first prove to the American people that illegal immigration is under control. And we can do that. We know what it takes to do that.It takes at least 20,000 more additional border agents. It takes completing those 700 miles of fencing. It takes a mandatory e-verify system and a mandatory entry/exit tracking system to prevent overstays. After we have done that, the second thing we have to do is reform and modernize the legal immigration system. And after we have done those two things, I think the American people are gonna be reasonable with what do you do with someone who has been in this country for 10 or 12 years who hasnt otherwise violated our laws because if theyre a criminal they cant stay. Theyll have to undergo a background check, pay a fine, start paying taxes. And ultimately, theyll given a work permit and thats all theyre gonna be allowed to have for at least 10 years. But you cant get to that third step until you have done the other two things, and that was the lesson we learned in 2013. There is no trust that the Federal Government will enforce the law. They will not support you until you see it done first.
BASH: Senator, you havent answered the question. You described a very long path but does that path end at citizenship?"
"114","RUBIO"," But Ive answered that question repeatedly. I am personally open after all that has happened and after ten years in that probationary status where all they have is a permit, I personally am open to allowing people to apply for a green card.That may not be a majority position in my party, but thats down the road. You cant even begin that process until you prove to people not just pass a law that says youre gonna bring illegal immigration under control. Youre gonna have to do it and prove to people that its working.And that was the lesson of 2013. And its more true today, than it was then. After a migratory crisis on the border with minors coming over that youre seeing start up again now, after all these executive orders the President has issued. More than ever we need to..."
"115","BASH"," Thank you, senator."
"116","RUBIO"," ... prove to people that illegal immigration is under control."
"117","BASH"," Thank you, senator. Senator Cruz.  Senator Cruz, on the campaign trail, Senator Rubio has said that his immigration plan is not that different from yours. Is that true?"
"118","CRUZ"," Well, he he has attempted to muddy the waters, but I think that anyone who watched the battle that we had. You know, there was a time for choosing as Reagan put it. Where there was a battle over amnesty and some chose, like Senator Rubio to stand with Barack Obama and Chuck Schumer and support a massive amnesty plan.Others chose to stand with Jeff Sessions and Steve King and the American people and secure the border.And let me mention, this issue is actually directly connected to what weve been talking about. Because the front line with ISIS isnt just in Iraq and Syria, its in Kennedy Airport and the Rio Grande. Border security is national security. And, you know, one of the most troubling aspects of the Rubio-Schumer Gang of Eight Bill was that it gave President Obama blanket authority to admit refugees, including Syrian refugees without mandating any background checks whatsoever. Now weve seen what happened in San Bernardino. When you are letting people in, when the FBI cant vet them, it puts American citizens at risk. And I tell you, if Im elected president, we will secure the border. We will triple the border patrol. We will build a wall that works and Ill get Donald Trump to pay for it. 
BASH: Senator Rubio, please.
RUBIO: Yeah, a couple points. In 2013 we had never faced a crisis like the Syrian refugee crisis now. Up until that point, a refugee meant someone fleeing oppression, fleeing Communism like it is in my community.As far as Teds record, Im always puzzled by his attack on this issue. Ted, you support legalizing people who are in this country illegally. Ted Cruz supported a 500-percent increase in the number of H-1 visas, the guest workers that are allowed into this country, and Ted supports doubling the number of green cards.So I think whats important for us to understand and there is a way forward on this issue that we an bring our country together on. And while Im president I will do it. And it will begin by bringing illegal immigration under control and proving to the American people.
BASH: Senator Cruz?
CRUZ: Look, I understand Marco wants to raise confusion, it is not accurate what he just said that I supported legalization. Indeed, I led the fight against his legalization and amnesty. And you know, there was one commentator that put it this way that, for Marco to suggest our records the same is like suggesting the fireman and the arsonist because they are both at the scene of the fire.He was fighting to grant amnesty and not to secure the border, I was fighting to secure the border. And this also goes to trust, listening on to campaign trails. Candidates all the time make promises. You know, Marco said, he learned that the American people didn't trust the federal government."
"119","BASH"," Senator Cruz?"
"120","RUBIO"," No, no, give him time."
"121","CRUZ"," In Florida promising to..."
"122","RUBIO"," Ted, do you..."
"123","CRUZ"," go in the fight against amnesty..."
"124","RUBIO"," Did Ted Cruz fight to support legalizing people that are in this country illegally?"
"125","CRUZ"," He campaigned promising to lead the fight against amnesty."
"126","FIORINA"," Ladies and gentleman, this is why the American people are standing up."
"127","BASH"," Senator Cruz, can you answer that question please?"
"128","RUBIO"," Does Ted Cruz rule out ever legalizing people that are in this country now?"
"129","BASH"," Senator Cruz?"
"130","CRUZ"," I have never supported a legalization..."
"131","RUBIO"," Would you rule it out?"
"132","CRUZ"," I have never supported legalization, and I do not intend to support legalization. Let me tell you how you do this, what you do is you enforce the law..."
"133","FIORINA"," This is why the nation is fed up..."
"134","BASH"," One at a time please."
"135","CRUZ"," Watt you do is enforcement the law..."
"136","FIORINA"," We have been talking about this..."
"137","BASH"," Ms. Fiorina, please wait your turn, were going to get to you.
FIORINA: Sorry, but you havent gotten to me. This is why..."
"138","CRUZ"," What you do..."
"139","BASH"," Senator Cruz go ahead."
"140","FIORINA"," the people are fed up with the political class."
"141","CRUZ"," What you do is you enforce the law. Ive laid out a very, very detailed immigration plan on my website, tedcruz.org. Its 11 pages of existing federal law and in particular the question of what to do with people who are here now? You enforce the law.That means you stop the Obama administrations policy of releasing criminal illegal aliens. Do you know how many aliens Bill Clinton deported? 12 million. Do you know how many illegal aliens, George W. Bush deported? 10 million.We can enforce the laws and if we secure the border, that solves the problem. And as president I will solve this problem and secure the border.
BASH: Mr. Trump, you like to say that you restarted this conversation in the campaign.
TRUMP: I believe I did.
BASH: So who do you side with? Who do you side with in this, Senator Rubio or Senator Cruz?
TRUMP: I have a very hardline position, we have a country or we dont have a country. People that have come into our country illegally, they have to go. They have to come back into through a legal process.I want a strong border. I do want a wall. Walls do work, you just have to speak to the folks in Israel. Walls work if theyre properly constructed. I know how to build, believe me, I know how to build.I feel a very, very strong bind, and really Im bound to this country, we either have a border or we dont. People can come into the country, we welcome people to come but they have to come in legally.
BASH: Thank you.Governor Bush?
BUSH: Yes.
BASH: Listening to this, do you think this is the tone this immigration debate that republicans need to take to win back Hispanics into our party especially states like where we are in Nevada that has a pretty Hispanic community?
BUSH: No it isnt but it is an important subject to talk about for sure. And I think people have good ideas on this. Clearly, we need to secure the border. Coming here legally needs to be a lot easier than coming here illegally.If you dont have that, you dont have the rule of law. We now have a national security consideration, public health issues, we have an epidemic of heroine overdoses in all places in this country because of the ease of bringing heroine in. We have to secure the border.It is a serious undertaking and yes, we do need more fencing and we do need to use technology, and we do need more border control. And we need to have better cooperation by the way with local law enforcement. There are 800,000 cops on the beat, they ought to be trained to be the eyes and ears for law enforcement for the threat against terror as well as for immigration.This is a serious challenge and if we can get it right, yes, well start winning votes again. The real problem isnt anybody on this stage, the real problem is Barack Obama has had six years to advocate a position to fix this and hes done nothing. The congress has funded these programs of building more fencing and doing all this and he hasnt done it.He wants to maintain it as a wedge issue and so does Hillary Clinton. Republicans need to fix it and when we do, well be better off.
BLITZER: Governor, thank you very much.So, Dr. Carson, you recently visited a refugee camp in Jordan and you deemed it your words, ""really quite nice."" Saying the people there didnt want to come to the United States. Do you think these camps are a long-term solution of the problem of Syrian refugees?"
"142","CARSON"," Well, it was very interesting having an opportunity to talk to the Syrians themselves. And I asked them What do you want? What is your supreme desire? Their supreme desire was to be settled back in their own country. I said, What can Americans and other countries do? They said, Support the efforts of those who are trying to provide safety for us, including the Jordanians.Of course, they had a brand new hospital, for instance, that was unstaffed because there wasnt enough money to do it. But heres whats really neat. If you go into Hasakah province in northeast Syria, thats an area thats as big as Lebanon. Its controlled by the Kurds, the Christians and the moderate Sunnis. And there are airstrips and hotels. You could settle a lot of people there.All we would have to do is be willing to provide them with some weaponry, some defensive weaponry. And we seem to be afraid to give the Kurds weaponry. We like to send it for some strange reason through Baghdad, and then they only get a tenth of it.And if we would support them, wed have a perfect ideal there. We dont need to set this up as we either take a bunch of refugees who will be infiltrated with terrorists, I guarantee you. For them not to be would be terrorist malpractice. And we need to to choose the right choice, not these false choices."
"143","BLITZER"," Senator Paul, you oppose letting in Syrian refugees at this time into the United States. The U.S. has already accepted 2,000 Syrian refugees, including 13 living here in Las Vegas right now. Would you send them back? What would you do with these people?"
"144","PAUL"," You know, I think we need to set the record straight on this, because I think Marco misspoke about the bill. On the Gang of Eight bill, there was no provisions really for extra scrutiny or safety for refugees. At the time the bill came up, two Iraqi refugees came to my home town, Bowling Green, Kentucky. Their fingerprints were on a bomb from Iraq. They were in the database, but we didnt pick them up.We relocated them here, put them in government housing, got them on food stamps. And we began providing for them, but we didnt have adequate security. On the Gang of Eight bill, on Marcos bill, we had an opportunity. There was a conservative consensus for an amendment I put forward called Trust, But Verify that would have strengthened border security on both refugees, students and those coming here. And Marco sided and I guess was more sympathetic to Chuck Schumer and to the president than he was to conservative principles.But this goes directly to national defense. And if he wants to run as a national national defense conservative, hes got to explain why he hasnt stepped up to support border security.
BLITZER: Senator Rubio? 
RUBIO: Well, hes just admitted as hes just admitted, the reason why those refugees were allowed in was because they messed up in how they used the actual database. They should have know. They didnt because they didnt run the actual law as it exists now. It didnt work well.As far as the refugees are concerned, its not that America doesnt want to accept refugees, Wolf. Its that we may not be able to, because this is an issue we have to be 100 percent right on. If we allow 9,999 Syrian refugees into the United States, and all of them are good people, but we allow one person in whos an ISIS killer we just get one person wrong, weve got a serious problem.And there is not a single person in the national defense apparatus of this country that can guarantee you are going to be 100 percent right. And thats why as president, Ill take this very seriously.
BLITZER: Senator Paul, you didnt answer the question about the 2,000 Syrian refugees who are already here in the United States. Will you send them back or let them stay?"
"145","PAUL"," What my bill would do would be only for refugees going forward. So I havent taken a position on sending anyone home. But I have taken the position that we have a lot of problems here in our country. And that one of the things that we do charity is about giving your own money. Charity isnt giving someone elses money. To put everyone in government housing and food stamps and bring them in from around the world I think is a mistake. To give of your own money, Ive given to my church. My church has helped people that came from Bosnia. Thats a good thing.But we shouldnt have a program where we just say that were going to take care of the worlds refugees. Nobody in the Middle East is doing anything. Saudi Arabia, Qatar, Kuwait all the Gulf nations are doing nothing. They need to step up and take..."
"146","BLITZER"," We have another we have another question. We have another question from Facebook. Lets listen.
QUESTION: My name is Carla Hernandez. Im from the University of Texas at Austin. And my question is directed to all the candidates.If the Bible clearly states that we need to embrace those in need and not fear, how can we justify not accepting refugees?"
"147","BLITZER"," Governor Christie, you say there should be a pause in allowing new refugees to come into the United States, including orphans under the age of five. What do you say to Carla?"
"148","CHRISTIE"," What I say to Carla is that the first job of the president of the United States is to protect your safety and your security and the security and safety of your family. And this debate stops with me in the discussions with the FBI director.Now, listen, Im a former federal prosecutor, I know Jim Comey. Weve worked together. He was the U.S. attorney in Manhattan when I was a U.S. attorney in New Jersey.And when Jim Comey gets up before Congress and says, we cannot effectively vet these people, for me as president, thats the end of the conversation. We have to put Americas security first. The American people we on this stage need to open our ears. We need to open our ears. The American people are not whispering to us. They are screaming to us. And theyre screaming to us that its our job to actually make this government work.Its so dysfunctional under Barack Obama and Hillary Clinton. Its so ineffective. Its so ineffectual that the American people say, we dont trust them to do anything anymore. So Im not going to let Syrian refugees, any Syrian refugees in this country.And it was widows and orphans, by the way, and we now know from watching the San Bernardino attack that women can commit heinous, heinous acts against humanity just the same as men can do it.And so I dont back away from that position for a minute. When the FBI director tells me that he can vet those people, then well consider it and not a moment before because your safety and security is whats most important to me. "
"149","BLITZER"," Governor Kasich."
"150","KASICH"," You know, obviously, as president of the United States, weve got to keep the people safe. Thats first and foremost.But as governor of Ohio, I have an obligation to keep the 11.5 million people in Ohio safe. And we have been very effective with our Joint Terrorism Task Force, being able to make busts.In fact, we just made one three-four weeks ago against a person who was favorable to ISIS living in Akron.But let me tell you what is interesting about the administration. We had Central American miners that were placed in Ohio, and we never knew a thing about it. We didnt know where they were. And, in fact, we know now that some of them, there is a case going on where some of them may have been human-trafficked.So when the administration tells me we have a great vetting process, the proof is in the pudding. They sent these miners to us. Our schools were disrupted. We didnt know where they were. And bad things happened to them. And now they tell me that we ought to be able to admit these Syrian refugees.So, Wolf, look, people have accused me at times of having too big of a heart. You know, thats OK. But I have to also to say I must keep the people of my state safe. So we take a pause.
BLITZER: Thank you, Governor.There is much more coming up. We are only just beginning. Coming up, what other global hot spots await the next president of the United States. 
BLITZER: Welcome back to the CNN-Facebook Republican Presidential Debate. Were here at the Venetian Las Vegas. Tonight we have been focusing on the Middle East, but lets turn to some other world threats that you will potentially face as Commander in Chief.Ms. Fiorina, candidates here have called the North Korean leader Kim Jong-Un a maniac who is mentally unstable. Last week he said he now has a hydrogen bomb. If you were elected president, what would you do about Kim Jong-Un?
FIORINA: Well, first, Kim Jong-Un is a dangerous leader, without a doubt. And both Republican and Democrat administrations have been completely ineffective in dealing with him. So we must continue to isolate him. We will need China as part of that strategy.China is a rising adversary. So one of the things we have to do if we want Chinas support is to push back on China. They, too, recognize one thing strength and their own economic interest.I have done business in China for 25 years, so I know that in order to get China to cooperate with us, we must first actually retaliate against their cyber-attacks so they know were serious. We have to push back on their desire to control the trade route through the South China Sea through which flows $5 trillion worth of goods and services every year.We cannot let them control the disputed islands, and we must work with the Australians, the South Koreans, the Japanese and the Filipinos to contain China. And then we must ask for their support and their help with North Korea. Because believe it or not, China is as concerned about Kim Jong-Un as we are.
BLITZER: Dr. Carson, what would you do about Kim Jong-Un?
CARSON: Well, I definitely believe that he is unstable, and I do, in fact, believe that China has a lot more influence with him than we do. But we also recognize that North Korea is in severe financial straits, and they have decided to use their resources to build their military, rather than to feed their people and to take care of the various humanitarian responsibilities that they have.We can capitalize upon that. You know, we should use our economic power in lots of different ways. I think we can use that in order to keep Putin contained, because he is a one-horse show. Energy. And we have an abundance of energy, but we have archaic energy exportation rules. We need to get rid of those, allow ourselves to really make Europe dependent on us and other parts of the world dependent on us for energy. Put him back in his little box where he belongs.And, you know, we need to be doing lots of other things with the resources that we have. So economic power works just as well as military power, perhaps even better. And speaking of that, our Military needs to be upgraded. You know, you look at things like our Ohio Class submarines, theyre 25 years old. Our minuteman 3 missiles they are 34 years old. Our B-52 bombers 50 years old. You know, if we dont get the military right nothing else matters.
BLITZER: Thank you, Dr. Carson. Dana and Hugh you have questions as well.
BASH: Governor Christie, youve said if China launches a cyber- attack against the U.S. on your watch, they're going to see cyber- warfare like they have never seen before. What exactly would that response look like?"
"151","CHRISTIE"," Well, what it would like is, we have one of the great advantages of America being the open society that we are. It is, we are not hiding things from the American people, but China everyday is conducting business in a way that hides things from their people.So if they want to come in and attack all the personnel records in the federal government, which theyve done, and which they now have my Social Security number and my fingerprints, as well as maybe some other folks who are on this stage.The fact is, they need to be fought back on. And what we need to do is go at the things that they are most sensitive and most embarrassing to them; that theyre hiding; get that information and put it out in public. Let the Chinese people start to digest how corrupt the Chinese government is; how they steal from the Chinese people; and how theyre enriching oligarchs all throughout China.They need to understand that. And we need to take those type of steps. This president has seen personnel records of people who have sacrificed for the American people and for the federal government stolen by the Chinese and hes done nothing in return. This is why this is what I said at the beginning that this administration, Barack Obama and Hillary Clinton through their foreign policy, have betrayed the American people, because the weakness theyve displayed has led to Putins incursions in the Middle East and in eastern Europe, and has led has led to significant problems in the Middle East as well, and the death and murder of lots of folks.
BASH: Governor Bush, what you just heard from Governor Christie, are you concerned that that could really escalate with China, that they would retaliate? And, for example, as the NSA has said, attack the U.S. and maybe its power grid, which the Chinese have the capability to do?"
"152","BUSH"," I completely agree with Chris. And this administration has been so lax. Think about it. Hillary Clinton is using a private server for where classified information go by. This is a this is a serious administration?The president receives an inspector generals report that the Office of Personnel Management could be hacked into; they had antiquated firewalls; 23 million files have been are in the hands of the Chinese allegedly, including, by the way, members of the press, it turns out, last week. Maybe thats the only part thats good news, so that you guys can get a feel for what its like now to see this type of attack.This is something we have to have the best defensive capabilities. We need to coordinate all of our efforts with the private sector. We need to give them liability relief so that we can do that. And offensively, we need to have capabilities second to none. We need to create a situation where they know that there will be adverse impacts if they continue to do what theyre doing.Theyll respect that. Theyll respect a United States that is serious about protecting our our infrastructure. If we dont do it, well continue to see whats exactly whats happening, not just from the Chinese, by the way. The Russians and rogue actors, including ISIS this is a serious part of the 21st century security challenge that we face.
HEWITT: Mr. Trump...... Dr. Carson just referenced the single most important job of the president, the command, the control and the care of our nuclear forces. And he mentioned the triad. The B-52s are older than I am. The missiles are old. The submarines are aging out. Its an executive order. Its a commander-in-chief decision.Whats your priority among our nuclear triad?"
"153","TRUMP"," Well, first of all, I think we need somebody absolutely that we can trust, who is totally responsible; who really knows what he or she is doing. That is so powerful and so important. And one of the things that Im frankly most proud of is that in 2003, 2004, I was totally against going into Iraq because youre going to destabilize the Middle East. I called it. I called it very strongly. And it was very important.But we have to be extremely vigilant and extremely careful when it comes to nuclear. Nuclear changes the whole ball game. Frankly, I would have said get out of Syria; get out if we didnt have the power of weaponry today. The power is so massive that we cant just leave areas that 50 years ago or 75 years ago we wouldnt care. It was hand-to-hand combat.The biggest problem this world has today is not President Obama with global warming, which is inconceivable, this is what hes saying. The biggest problem we have is nuclear nuclear proliferation and having some maniac, having some madman go out and get a nuclear weapon. Thats in my opinion, that is the single biggest problem that our country faces right now.
HEWITT: Of the three legs of the triad, though, do you have a priority? I want to go to Senator Rubio after that and ask him.
TRUMP: I think I think, for me, nuclear is just the power, the devastation is very important to me.
HEWITT: Senator Rubio, do you have a response?
RUBIO: I do. First, lets explain to people at home who the triad what the triad is. Maybe a lot of people havent heard that terminology before. The triad is our ability of the United States to conduct nuclear attacks using airplanes, using missiles launched from silos or from the ground, and also from our nuclear subs ability to attack. And its important all three of them are critical. It gives us the ability at deterrence.Now, some have become more critical than others; for example, the submarines. And thats the Ohio Class submarine that needs to be modernized. The air component also needs to be modernized. The B-52, as someone earlier pointed out, is an outdated model that was flown by the grandparents of people that are flying it now. And we need a serious modernization program as well on our silo-launched missiles. All three are critical for the defense of the country."
"154","BLITZER"," Thank you, Senator Rubio.Some of you on this stage have questioned whether your opponents have temperament, the right temperament, to be in control of the nuclear codes.Dana, you have a question on this?"
"155","BASH"," Mr. Trump, just this weekend you said Senator Cruz is not qualified to be president because he doesnt have the right temperament and acted like a maniac when he arrived in the Senate. But last month you said you were open to naming Senator Cruz as your running mate.
TRUMP: I did.
BASH: So why would you be willing to put somebody whos a maniac one heartbeat away from the presidency?"
"156","TRUMP"," Let me just say that I have gotten to know him over the last three or four days. He has a wonderful temperament. Hes just fine. Dont worry about it. "
"157","BASH"," Okay.Senator Cruz. Senator Cruz, you have not been willing to attack Mr. Trump in public."
"158","TRUMP"," You better not attack..."
"159","BASH"," But you did question his judgment in having control of Americans nuclear arsenal during a private meeting with supporters. Why are you willing to say things about him in private and not in public?
CRUZ: Dana, what I said in private is exactly what Ill say here, which is that the judgment that every voter is making of every one of us up here is who has the experience, who has the vision, who has the judgment to be commander in chief. That is the most important decision for the voters to make. Thats a standard Im held to. And its a standard everyone else is held to.And I will note, you know, in the whole course of this discussion about our foreign policy threats, it actually illustrates the need for clarity of focus.You know, my daughters, Caroline and Catherine, came tonight. Theyre 7 and 5. And you think about the Los Angeles schools canceling their schools today.And every parent is wondering, how do we keep our kids safe? We need a commander in chief who does what Ronald Reagan did with communism, which is he set out a global strategy to defeat Soviet communism. And he directed all of his...Im answering the question, Dana.He directed all of his forces to defeating communism.One of the things weve seen here is how easy it is for Barack Obama and Hillary Clinton to get distracted from dealing with radical Islamic terrorism. They wont even call it by its name.We need a president who stands up, number one, and says, we will defeat ISIS. And number two, says the greatest national security threat facing America is a nuclear Iran.
BASH: Senator, senator, I just...
CRUZ: And we need to be focused on defeating...
BASH: Senator, a lot of people have seen...
CRUZ: ... defeating radical Islamic terrorists.
BASH: ... a lot of people have seen these comments you made in private. I just want to clarify what youre saying right now is you do believe Mr. Trump has the judgment to be commander in chief?"
"160","CRUZ"," What Im saying, Dana, is that is a judgment for every voter to make. What I can tell you is all nine of the people here would make an infinitely better commander in chief than Barack Obama or Hillary Clinton. 
BLITZER: Thank you, senator. Thank you.
CRUZ: And there is a real danger, Dana, when people get distracted.Im answering the question, Wolf.Theres a real danger when people get distracted by peripheral issues. They get distracted by democracy building. They get distracted about military conflicts. We need to focus on defeating jihadism. ISIS and Iran have declared war on America, and we need a commander in chief who will do everything necessary to keep our children safe.
BLITZER: Thank you, Senator.
CRUZ: And I will do everything necessary to keep our children safe.
BLITZER: Thank you, Senator.Were a month and a half away now from the first real test who will be the Republican presidential nominee.Hugh, you have a question?"
"161","HEWITT"," My listeners tell me again and again they are worried that Hillary Clinton will win the White House because youll run as an independent. Are you ready to assure Republicans tonight that you will run as a Republican and abide by the decision of the Republicans?
TRUMP: I really am. Ill be honest, I really am. I mean, the people have been putting me...I really am. "
"162","HEWITT"," Dr. Carson, last week..."
"163","TRUMP"," Let me just. Can I just finish my..."
"164","HEWITT"," Please."
"165","TRUMP"," Ive gained great respect for the Republican leadership. Ive gained great respect for many and Im going to even say I mean, in different forms for the people on the dais, in different forms.  In different forms.But I have great respect for the people I have met through this process. Ive never done this process before. Ive never been a politician. I mean, for the last six months Ive been a politician.But I will tell you, I am totally committed to the Republican Party. I feel very honored to be the front runner. And I think Ill do very well if Im chosen. If Im so fortunate to be chosen, I think Ill do very well.Polls have come out recently saying I would beat Hillary. I will do everything in my power to beat Hillary Clinton, I promise you. "
"166","HEWITT"," Dr. Carson, Mr. Trump just committed to stay the distance regardless of the result. How about you?"
"167","CARSON"," Well, you know, the statement that I made last week, that I would leave the party was contingent upon whether in fact the party acts like they have in the past with a lot of subterfuge and dishonesty, or like theyre going act now because I spike to Reince Priebus, and he assured me that the Washington Post writer had it all wrong, and that theyre not be engaging in anything to thwart the will of the people.Thats why I got into this race, as a member of we the people, to try bring some honesty and integrity back to the process. 
BLITZER: All right. Candidates, we have more coming up. When we come back, everyone will have an opportunity to explain why this particular candidate, each of you on the stage, believes he or she should be the Republican presidential nominee. 
BLITZER: Now its time for the closing statements from the candidates. Each one has 30 seconds.Senator Paul."
"168","PAUL"," The greatest threat to our national security is our debt. We borrow a million dollars a minute. And whose fault is it? Well, frankly, its both parties fault. You have those on the right who clamor and say, oh, we will spend anything on the military, and those on the left who say the same for domestic welfare.But what most Americans dont realize is there is an unholy alliance. They come together. Theres a secret handshake. We spend more money on everything. And we are not stronger nation if we go further into debt. We are not projecting power from bankruptcy court.To me, there is no greater threat than our debt. Im the only fiscal conservative on the stage because Im willing to hold the line on all spending. I hope you will consider me in the election. Thank you very much. "
"169","BLITZER"," Governor Kasich."
"170","KASICH"," No Republican has ever been elected president of the United States without winning Ohio. Let me give you a little tip on how you win Ohio, its reform, its hope, its growth, its opportunity, and its security.The people of Ohio are the people of America. The people of America are reflected in Ohio. Our message has to be big, and bold, and positive, and connect, not just with peoples heads but also connect with their hearts.If we do it, we will beat Hillary Clinton, and we will run the White House, and we will strengthen and fix America, I promise you. "
"171","BLITZER"," Governor Christie."
"172","CHRISTIE"," On September 10th, 2001, I was named chief federal prosecutor in New Jersey and on September 11th, 2001, my wife and my brother who are in the audience tonight went through the World Trade Center and to their offices just blocks away from the Trade Center.I lost touch with them for six hours that day and prayed that they were alive. Luckily, they were sent home. But many of our friends and others in our neighborhood lost their lives that day.Terrorism radical jihadist terrorism is not theoretical to me. Its real. And for seven years, I spent my life protecting our country against another one of those attacks. You wont have to worry when Im President of the Untied States whether that can be done because Ive already done it. I want the chance to do it again to protect you, your children and your families.If you give me the chance and give me your vote I will protect America from the wars that are being brought to our door step."
"173","BLITZER"," Ms. Fiorina."
"174","FIORINA"," I too remember September 11th. I remember immediately putting into place security procedures all throughout our company that did business in 170 countries where we thought corporate interests would be attacked next. To take our country back, to keep our nation safe, we have to begin by beating Hillary Clinton.We need to unify our party. We need to better than our government, which 75 percent of the American people now think is corrupt and incompetent. Theyre right. We need to better than our politics. 80 percent think we have a professional/political class of both parties that cares more about its power, position and privilege than actually on getting anything done.We need to unify our party, we need a real Conservative in the White House, and we need to beat Hillary Clinton to take our country back and keep our nation safe.I can. I am. And together, if you join me, we will take our country back.
BLITZER: Governor Bush.
BUSH: Ask yourself, which candidate will keep you and our country safer, stronger and freer?Hillary Clinton has aligned herself with Barack Obama on ISIS, Iran and the economy. Its an alliance doomed to fail. My proven record suggests that my detailed plans will fortify our national and economic security. And my proven record as governor makes will give you a sense that I dont make false promises. I deliver real results.For America to be safe and sound, I ask for you support. Thank you all very much.
BLITZER: Senator Rubio.
RUBIO: Thank you. As we near the end of this year, we enter one of the most important elections in a generation. For whats at stake in this election is not simply what partys going to be in charge. But our very identity as a people and as a nation. For over 200 years this has been a special country. A unique place where anyone from anywhere can achieve anything. But now millions of Americans feel like theyre being left behind. Insecure in their future and unsafe in the face of terrorism. This election is about electing a president that will restore our economic vibrancy so that the American dream can expand to reach more people and change more lives than ever before. And rebuild our Military and our intelligence programs so that we can remain the strongest nation on earth. Tonight I ask you for your vote.If you do this, we will rebuild this country, and together we will usher in a new American century the greatest era in the history of this great land."
"175","BLITZER"," Senator Cruz."
